rank,value_score,model,year,km,price,motivation_score,price_drop_pct,num_price_cuts,bump_count,days_on_market,is_clean,is_bayi,damage_changed_count,damage_painted_count,damage_local_painted_count,feature_count,battery,seller_type,heavy_damage_record,km_per_year,price_score,km_score,damage_score,feature_score,depr_score,trim_mult,clean_bonus,bayi_bonus,new_changed_penalty,price_history,dq_reason,sahibinden_id,title,url
85,55.8,4S,2021,70000,7250000,19.9,0.0,2,2,71,Yes,No,0.0,0.0,0.0,0.0,PB Plus (93.4 kWh),Galeriden,Hayır,14000,0.789,0.533,1.0,0.0,0.25,1.0,5.0,0.0,0.0,"7,250,000 (15 Apr 26) -> 7,200,000 (04 May 26) -> 7,100,000 (01 Jun 26) -> 7,250,000 (17 Jun 26)",,1311026830,HATASIZ BOYASIZ 2021 PORSCHE TAYCAN 4S PERFORMANS PLUS 70.000 KM,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-hatasiz-boyasiz-2021-porsche-taycan-4s-performans-plus-70.000-km-1311026830/detay
86,55.6,Turbo,2020,52160,7650000,6.3,0.0,0,1,39,Yes,Yes,0.0,0.0,0.0,0.0,PB Plus (93.4 kWh),Sahibinden,Hayır,8693,0.458,0.71,1.0,0.0,0.1,1.05,5.0,3.0,0.0,"7,650,000 (17 May 26)",,1315696567,HATASIZ 680HP BURMESTER+SERAMİK DİSK+AKS SOĞUTMA+PCCB,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-hatasiz-680hp-burmester-plusseramik-disk-plusaks-sogutma-pluspccb-1315696567/detay
87,55.6,4S,2024,6123,13499950,21.5,3.6,1,3,52,Yes,Yes,0.0,0.0,0.0,47.0,PB Plus (105 kWh),Galeriden,Hayır,3062,-0.763,0.898,1.0,0.825,1.0,1.0,5.0,3.0,0.0,"14,000,000 (04 May 26) -> 13,499,950 (25 Jun 26)",,1311485725,AKTİF-İRİYIL/PORSCHE TAYCAN 4S PERFORMANCE PLUS 590HP/2024/SİYAH,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-aktif-iriyil-porsche-taycan-4s-performance-plus-590hp-2024-siyah-1311485725/detay
88,55.6,4S,2020,98000,6450000,60.6,9.8,8,6,116,Yes,Yes,0.0,0.0,0.0,0.0,PB Plus (93.4 kWh),Galeriden,Hayır,16333,0.821,0.456,1.0,0.0,0.1,1.0,5.0,3.0,0.0,"7,150,000 (01 Mar 26) -> 6,920,000 (17 Mar 26) -> 6,850,000 (24 Mar 26) -> 6,825,000 (01 Apr 26) -> 6,775,000 (15 Apr 26) -> 6,725,000 (17 May 26) -> 6,550,000 (01 Jun 26) -> 6,525,000 (17 Jun 26) -> 6,450,000 (21 Jun 26)",,1300072010,ALDATMAZ BAYİ 2020 TAYCAN 4S PERFORMENCE PLUS SOĞT+CHRONO+HATSZ,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-aldatmaz-bayi-2020-taycan-4s-performence-plus-sogt-pluschrono-plushatsz-1300072010/detay
89,55.4,4S,2023,67000,9100000,0.4,0.0,0,0,4,No,No,0.0,2.0,0.0,30.0,PB (79.2 kWh),Galeriden,Hayır,22333,0.898,0.256,0.75,0.526,0.6,1.0,0.0,0.0,0.0,"9,100,000 (21 Jun 26)",,1323445524,BİRLİK GLOBAL'DEN HATASIZ BOYASIZ,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-birlik-global-den-hatasiz-boyasiz-1323445524/detay
90,55.3,4S,2020,78000,6700000,0.9,0.0,0,0,8,Yes,Yes,0.0,0.0,0.0,30.0,PB (79.2 kWh),Sahibinden,Hayır,13000,0.502,0.567,1.0,0.526,0.1,1.0,5.0,3.0,0.0,"6,700,000 (17 Jun 26)",,1322695865,HATASIZ BOYASIZ TRAMERSİZ BAYİ ÇIKISLI İÇİ TABA,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-hatasiz-boyasiz-tramersiz-bayi-cikisli-ici-taba-1322695865/detay
91,54.9,Turbo S,2022,30980,10250000,19.6,2.4,1,3,52,Yes,Yes,0.0,0.0,0.0,0.0,PB Plus (93.4 kWh),Galeriden,Hayır,7745,-0.0,0.742,1.0,0.0,0.4,1.08,5.0,3.0,0.0,"10,500,000 (04 May 26) -> 10,250,000 (17 May 26)",,1314960047,SS MOTORS 2022 TAYCAN GTS-TURBO S AERO JANT-YOLCU EKRANI-BAYİ,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-ss-motors-2022-taycan-gts-turbo-s-aero-jant-yolcu-ekrani-bayi-1314960047/detay
92,54.7,4S,2020,146000,5750000,24.9,0.0,0,6,116,No,No,2.0,1.0,0.0,30.0,PB (79.2 kWh),Galeriden,Hayır,24333,1.713,0.189,0.375,0.526,0.1,1.0,0.0,0.0,0.0,"5,750,000 (01 Mar 26)",,1301385007,SEFA YILMAZ'DAN 2020 PORSCHE TAYCAN 4S P.MNCE ELK BAGJ AIRMTIC,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-sefa-yilmaz-dan-2020-porsche-taycan-4s-p.mnce-elk-bagj-airmtic-1301385007/detay
93,54.6,4S,2020,15100,7000000,37.1,1.1,3,4,138,Yes,Yes,0.0,0.0,0.0,39.0,PB (79.2 kWh),Galeriden,Hayır,2517,0.12,0.916,1.0,0.684,0.1,1.0,5.0,3.0,0.0,"7,080,000 (07 Feb 26) -> 7,060,000 (01 Mar 26) -> 7,040,000 (17 Mar 26) -> 7,000,000 (01 Jun 26)",,1153024225,TARGET MOTORS 2020 PORSCHE TAYCAN 4S PERFORMANCE-BAYİ,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-target-motors-2020-porsche-taycan-4s-performance-bayi-1153024225/detay
94,54.1,Taycan,2025,7000,13475000,23.9,1.3,1,5,71,Yes,Yes,0.0,0.0,0.0,32.0,PB (89 kWh),Galeriden,Hayır,7000,-0.475,0.767,1.0,0.561,1.0,0.95,5.0,3.0,0.0,"13,650,000 (15 Apr 26) -> 13,475,000 (11 Jun 26)",,1309880304,YENİKÖY MOTORS 2025 PORSCHE TAYCAN 4 - YENİ N.BATARYA - BAYİ,https://www.sahibinden.com/ilan/vasita-otomobil-porsche-yenikoy-motors-2025-porsche-taycan-4-yeni-n.batarya-bayi-1309880304/detay
